"","gene_name","fc","qval","pval","logfc","abs_fc"
"1","COA3",0.496438660901338,0.0430202088843646,5.61543538080134e-05,-1.01031262301546,1.01031262301546
"2","MRPL24",0.273564964153754,0.0413994329636882,5.28889914830355e-05,-1.87004462079749,1.87004462079749
"3","CCT4",0.225139679597492,0.0376420904196967,4.70434656840713e-05,-2.15110774882996,2.15110774882996
"4","MRPL24",0.261389799623435,0.0365189378009075,4.46255801160866e-05,-1.93572525184054,1.93572525184054
"5","SLC26A1",3.15029189744006,0.0339710830097423,4.03270937162636e-05,1.65548551098676,1.65548551098676
"6","CYP2C8",5.40217488393469,0.0339710830097423,4.05686830177165e-05,2.43354034478975,2.43354034478975
"7","PSMB4",0.431026075854007,0.0339445549658027,3.86515609075433e-05,-1.21415294397832,1.21415294397832
"8","CLEC4G",4.06957624176598,0.0273943823213646,3.0432285190507e-05,2.02487857686713,2.02487857686713
"9","CD48",3.67082014397689,0.0210180139188998,2.21813683149996e-05,1.87610242967876,1.87610242967876
"10","BOLA2B",0.140720128867263,0.0163362615899165,1.63330857121391e-05,-2.8290993857875,2.8290993857875
"11","IVD",0.365366767864914,0.0161470806641213,1.56954987431401e-05,-1.45258267607467,1.45258267607467
"12","SSR2",0.162434320409943,0.00904027936749398,8.28531172070157e-06,-2.62207160612034,2.62207160612034
"13","ADGRG7",3.1722513626812,0.00893710936954051,7.94255283209644e-06,1.66550709176252,1.66550709176252
"14","NT5E",2.90257841210984,0.00775546363445968,6.46162993400701e-06,1.53733504150393,1.53733504150393
"15","FCN2",4.07339558963543,0.00739483013816004,5.95578843021194e-06,2.02623192911956,2.02623192911956
"16","SLC22A10",2.78548977368692,0.00661600613619082,5.14478217605863e-06,1.47793101946667,1.47793101946667
"17","IGFBP3",4.61709189235263,0.00661600613619082,5.00354223675892e-06,2.20698444612394,2.20698444612394
"18","MARCO",13.9033862992746,0.00661600613619082,4.78587973640199e-06,3.79736440245342,3.79736440245342
"19","FCN2",2.9562259050148,0.00657447941582319,4.56472312038159e-06,1.56375651968423,1.56375651968423
"20","SLC25A47",5.16594812963737,0.00657447941582319,4.38685024306551e-06,2.36903315768537,2.36903315768537
"21","CLEC4G",2.98502137081873,0.00393099280655769,2.4227878655525e-06,1.57774126028868,1.57774126028868
"22","PLAC8",6.67171218654817,0.00393099280655769,2.51097938042122e-06,2.73805705317169,2.73805705317169
"23","CFP",10.0545397652601,0.00393099280655769,2.18772845306248e-06,3.32977514037219,3.32977514037219
"24","IGF2",24.7480045311484,0.00393099280655769,2.36764894978592e-06,4.62924029809672,4.62924029809672
"25","COL15A1",0.203994899336084,0.0033333949683415,1.7589497708359e-06,-2.29339501521282,2.29339501521282
"26","FCN3",14.8039744031995,0.00275320176432176,1.37633326180442e-06,3.88791264114954,3.88791264114954
"27","IGF2",9.83825092502452,0.00260137674653158,1.22818909353839e-06,3.29840185153125,3.29840185153125
"28","SLC25A47",32.5563637855737,0.00260137674653158,1.22076707342877e-06,5.02486766913928,5.02486766913928
"29","OIT3",8.07659952670659,0.00213603174188382,8.8984020130134e-07,3.01374800602645,3.01374800602645
"30","FCN2",11.5930621761101,0.00213603174188382,8.89013915372772e-07,3.53518978312846,3.53518978312846
"31","SLC22A10",8.4966992410623,0.00200956089940997,7.25533693235469e-07,3.08690249849874,3.08690249849874
"32","COLEC10",5.53778932166181,0.00184565701655427,6.15099402856423e-07,2.46931016920227,2.46931016920227
"33","SLC25A47",5.47477601012813,0.00100592817412702,3.07307187918937e-07,2.4527999408439,2.4527999408439
"34","SFRP5",5.61682733049324,0.000896170875243007,2.48887959353183e-07,2.48975545303757,2.48975545303757
"35","MARCO",4.84583922380582,0.000819822367063979,2.04915747037404e-07,2.27674653956725,2.27674653956725
"36","CHST4",3.21897375006205,0.000572511230868893,1.11299986560454e-07,1.6866008120409,1.6866008120409
"37","CXCL14",3.66606700095492,0.000520187103447959,8.66809959365611e-08,1.87423315277963,1.87423315277963
"38","MARCO",3.1670920098487,0.000396586594705672,5.50707632829273e-08,1.66315878091969,1.66315878091969
"39","GDF2",5.9626345965763,0.000351611123433931,3.90603075439699e-08,2.57594992793097,2.57594992793097
"40","FCN3",12.4179129158567,0.00031790786220635,2.64871715671688e-08,3.63435081442309,3.63435081442309
"41","CXCL14",4.5736462706658,0.000289332690996957,1.60709134888748e-08,2.19334479091571,2.19334479091571
"42","EIF2AK1",11.1745213117743,2.87545932620148e-07,7.98583421612875e-12,3.48214112621354,3.48214112621354
