"","gene_name","fc","qval","pval","logfc","abs_fc"
"1","ACSL1",4.84062219813522,0.0492865877452025,0.00143448878476859,2.27519249883698,2.27519249883698
"2","NQO2",0.244001540368995,0.0465104693470788,0.00130165232826429,-2.03503783941192,2.03503783941192
"3","MT2A",6.7567900656013,0.046015868205897,0.00127583161886768,2.75633803108232,2.75633803108232
"4","UGT2B7",5.57586336870379,0.0458817893015632,0.00126900672013386,2.47919520975215,2.47919520975215
"5","AHSG",5.31719819730736,0.0451110100374101,0.00121439984940075,2.41066624354004,2.41066624354004
"6","F5",0.229810036851972,0.0443395709912399,0.00118257985948655,-2.12148628645793,2.12148628645793
"7","NNMT",4.90981080528233,0.0422556950045987,0.0010953528577482,2.29566743278033,2.29566743278033
"8","TTR",4.61847061401204,0.0415784133133904,0.00106814597698934,2.2074151886833,2.2074151886833
"9","HGFAC",4.14743861686422,0.0403710507685222,0.00100650341851238,2.0522206290893,2.0522206290893
"10","TDO2",6.70618225466165,0.0382893710707488,0.000923202943765133,2.74549169194821,2.74549169194821
"11","MINOS1",0.247585372778922,0.0376219917114405,0.000899398087824244,-2.01400201152527,2.01400201152527
"12","CYP2C8",8.67537002592442,0.0373533759677619,0.000890678973438863,3.11692529350431,3.11692529350431
"13","IGLV3-19",4.13466298580622,0.0366763800663,0.000869974001456275,2.04776974087881,2.04776974087881
"14","MT2A",5.32330562702932,0.0363402088494698,0.000857346003672932,2.41232239811421,2.41232239811421
"15","IGLL5",5.07625891901858,0.0356118314106891,0.000822344985801471,2.34376565697601,2.34376565697601
"16","TTR",5.94537176610266,0.0356118314106891,0.00082254966391182,2.57176702499926,2.57176702499926
"17","PCK1",5.75594730178921,0.0353689071510732,0.000802751060323903,2.52505338363565,2.52505338363565
"18","IGHG4",4.77931315068402,0.0350867933071058,0.000792031808568572,2.25680329910515,2.25680329910515
"19","PLIN2",5.15971620734716,0.034818476955288,0.000773122229376422,2.36729171729344,2.36729171729344
"20","SLC22A1",4.04824093989803,0.0341516056852843,0.000747114513187319,2.01729515773273,2.01729515773273
"21","TECR",0.215635056239672,0.0336010940467487,0.000730095242801099,-2.2133363557959,2.2133363557959
"22","C1RL",4.38139039864372,0.0326044758969384,0.000695888371031961,2.13138877003491,2.13138877003491
"23","C1S",4.71845357734386,0.0310762364196875,0.000639059029994393,2.23831410919452,2.23831410919452
"24","FGG",4.95840734418862,0.0307205038758592,0.00062796453775027,2.30987679689879,2.30987679689879
"25","IGLL5",4.58356770656069,0.0301459391064175,0.000603240180585218,2.19647098453758,2.19647098453758
"26","GLYATL1",5.06805538199888,0.0284437232091682,0.000546827074172862,2.3414322898494,2.3414322898494
"27","GATM",5.8225884496145,0.0275994014077499,0.000521159812534089,2.54166065025426,2.54166065025426
"28","SERPINA1",9.79753812421085,0.0273641555264969,0.00051279038322094,3.29241928165784,3.29241928165784
"29","MUT",4.09823748146043,0.0272208416150257,0.000507872347350502,2.03500358693538,2.03500358693538
"30","ACSM3",4.43639076463712,0.02718524799259,0.000501858957107526,2.14938644606211,2.14938644606211
"31","IGLV3-21",4.64663400831065,0.02718524799259,0.000505382035072,2.21618601558477,2.21618601558477
"32","IGLC2",7.53226853133146,0.0269702320786748,0.000492412691351918,2.91308443408842,2.91308443408842
"33","GNAI2",4.98515654549535,0.0257613766175969,0.000458803677107378,2.31763880931027,2.31763880931027
"34","IGHG4",5.44015400401247,0.0256486958446094,0.000454875997572213,2.44364749296095,2.44364749296095
"35","SMIM24",4.00823124130536,0.0252964378280394,0.000446442463558738,2.00296574233079,2.00296574233079
"36","SULT2A1",4.83939772436652,0.0252925341624987,0.000444929559015539,2.27482751152139,2.27482751152139
"37","IGLV1-47",4.51005071938985,0.0252039377437099,0.000440086457720534,2.17314365791542,2.17314365791542
"38","MT1X",5.88361360916392,0.0252039377437099,0.000441093434290663,2.55670250450454,2.55670250450454
"39","IGLV3-21",5.29910627511427,0.0240257184047049,0.000406200712444571,2.40574906133914,2.40574906133914
"40","HAO2",5.0176988758555,0.0230322566121699,0.000376834804947546,2.3270258937552,2.3270258937552
"41","FXYD1",4.9317041440076,0.0217559425407226,0.000344995029492923,2.30208625416579,2.30208625416579
"42","IGLC3",10.2242186669378,0.0214283631237891,0.000336535435088492,3.35391869175569,3.35391869175569
"43","C9",6.85618366367002,0.021308099862218,0.000334208725849772,2.77740575692954,2.77740575692954
"44","GNMT",4.47548327186604,0.0208493779023843,0.000320601825291922,2.16204347595899,2.16204347595899
"45","NENF",0.221181485767225,0.020063200662647,0.000303165188181631,-2.17669746659182,2.17669746659182
"46","FBP1",4.08769795832668,0.0193817283784771,0.000286112363810709,2.03128859888736,2.03128859888736
"47","C9",6.06037655492114,0.0193166268410853,0.000283951055646048,2.59940743677409,2.59940743677409
"48","LBP",0.23599526223341,0.0189917653332672,0.000274514998973907,-2.08317019810098,2.08317019810098
"49","IGLV2-23",5.16141713467157,0.0185029225491562,0.00026517289666339,2.36776723085513,2.36776723085513
"50","MT2P1",4.80047728370108,0.01843359156025,0.000260399897179076,2.2631778517915,2.2631778517915
"51","MT2P1",4.79976460250024,0.0184328755096547,0.000260011857765252,2.26296365268105,2.26296365268105
"52","TDO2",4.19101205385158,0.0183906607823051,0.000258662264662757,2.06729867083787,2.06729867083787
"53","RPS4X",0.199839011225616,0.0175588453273314,0.000238682791077638,-2.32308985105658,2.32308985105658
"54","IGKV3-15",4.26014187255437,0.0174830254274638,0.000237114760920809,2.09090147632493,2.09090147632493
"55","IGKV3-15",4.26043848777356,0.0174830254274638,0.000236989843256596,2.09100192143262,2.09100192143262
"56","ACAA1",5.34447781647862,0.0174830254274638,0.00023573932581078,2.41804899595723,2.41804899595723
"57","SLC22A1",6.5920665134283,0.017252545963265,0.000230981927133556,2.72073079927311,2.72073079927311
"58","HMOX1",5.01014650831154,0.0167338124719216,0.000221978444854498,2.32485279178856,2.32485279178856
"59","MT1G",4.17800671408427,0.0158302458008084,0.000202251157531363,2.0628148108273,2.0628148108273
"60","DCN",5.05050491821,0.0153934254188115,0.000194098426058331,2.33642762679192,2.33642762679192
"61","GBA3",5.82863355831149,0.0153162677106944,0.000191530533188211,2.54315770337288,2.54315770337288
"62","APOF",5.95565675278534,0.0149910305963143,0.000185336274440839,2.57426060829807,2.57426060829807
"63","SLC22A1",9.64157261527517,0.0148748344576536,0.000183289775475659,3.2692684803991,3.2692684803991
"64","MDK",0.196129718305862,0.0147577243632112,0.00018034705085368,-2.3501199402646,2.3501199402646
"65","HAMP",8.49149788053735,0.0140875964436285,0.000166657299954354,3.08601906428662,3.08601906428662
"66","IGHA2",4.03783655550867,0.0135303023438323,0.000157012980821936,2.0135825141044,2.0135825141044
"67","ALB",243.3624468773,0.0134706718571359,0.000155216254227875,7.9269627535382,7.9269627535382
"68","DCN",5.18144194500331,0.0134038418212846,0.00015326259780557,2.37335364181469,2.37335364181469
"69","CNDP1",4.00926254685907,0.0133597883900436,0.000152021211228814,2.0033368955753,2.0033368955753
"70","PCBP2",4.02549669281241,0.0127750511215147,0.000142748244171598,2.00916680361173,2.00916680361173
"71","IGKV1-39",4.43256447573347,0.0125638860981039,0.000139358313426707,2.14814161660494,2.14814161660494
"72","IGKV1-39",4.43663385230209,0.0125397685305735,0.000138638786517098,2.14946549495107,2.14946549495107
"73","C1R",4.2986547524475,0.0119583963424039,0.000127043878778599,2.10388524455398,2.10388524455398
"74","IGKV3D-11",4.72199153240625,0.0119583963424039,0.000127933663181867,2.23939545449191,2.23939545449191
"75","C7",4.24845789292756,0.0116068383049703,0.000122079551614585,2.08693926620217,2.08693926620217
