"gene_name","fc","qval","pval","logfc","abs_fc"
"MIR22",0.955211627056201,0.995151396441438,0.904767141345606,-0.0661076973610361,0.0661076973610361
"MIR3682",0.932454681184427,0.985358591933152,0.827129148595564,-0.100894485143377,0.100894485143377
"MIR4461",0.837594964591511,0.982711284756671,0.810317061965646,-0.255675325709248,0.255675325709248
"MIR4707",0.866442732192844,0.980122936610123,0.777317225728481,-0.206823697737028,0.206823697737028
"MIR1295A",0.834586838723549,0.974005845028823,0.678126429678194,-0.260865925134344,0.260865925134344
"MIR99AHG",1.26351719512663,0.97320033920444,0.61867110575343,0.337445297963032,0.337445297963032
"MIR6840",0.787134250845817,0.97320033920444,0.617416672302874,-0.345318377183052,0.345318377183052
"MIR4444-2",1.25260184100071,0.972497510154636,0.581493186487325,0.324927904445424,0.324927904445424
"MIR4435-2HG",1.30599058324408,0.972351778004099,0.566938676325223,0.38514449446777,0.38514449446777
"MIR4435-2HG",1.32447925244658,0.972351778004099,0.547883674868779,0.405425244517751,0.405425244517751
"MIR6840",0.711287028093449,0.972351778004099,0.422212870979878,-0.491496241870539,0.491496241870539
"MIR3652",1.44365980041877,0.972351778004099,0.497995569477393,0.529730810041277,0.529730810041277
"MIR8085",0.671765446146157,0.922693101314042,0.267914588512656,-0.573970505858051,0.573970505858051
"MIR4458HG",0.565351775269692,0.835936725827002,0.16432052798346,-0.822779268928225,0.822779268928225
"MIR1244-4",0.553875933580112,0.835336209535804,0.162599475154656,-0.852365241453708,0.852365241453708
"MIR1244-4",0.553875896732571,0.835336209535804,0.16259941466225,-0.852365337431459,0.852365337431459
"MIR650",4.83274264524308,0.789423583815266,0.1150198244493,2.27284216995346,2.27284216995346
"MIR6840",0.457531101136048,0.749959506668435,0.0542495556447535,-1.12805827951323,1.12805827951323
"MIR4435-2HG",0.19214214516951,0.747658782231523,0.0437332933722611,-2.37975409510191,2.37975409510191
"MIR1244-3",0.140562115256087,0.747658782231523,0.0517520315571396,-2.83072028779593,2.83072028779593
