"gene_name","fc","qval","pval","logfc","abs_fc"
"PDCD7",1.06559074625493,0.946764702476083,0.818254954363104,0.0916534590025842,0.0916534590025842
"PDGFRB",0.905229816159229,0.942191403316658,0.803738600019727,-0.143643990489546,0.143643990489546
"PDCD11",1.13828549703098,0.923221035168689,0.756180346018287,0.186862449993658,0.186862449993658
"FGFR4",1.19270113826423,0.892676074058844,0.688452783093698,0.254232584223865,0.254232584223865
"PDCD2L",0.847409311128736,0.888198035746568,0.677915504155908,-0.238869114113985,0.238869114113985
"FLT1",1.18109663956702,0.882124851236424,0.663085587989667,0.24012701360897,0.24012701360897
"VEGFB",1.28970731694452,0.85073629531731,0.600903021859822,0.367043701073694,0.367043701073694
"MET",0.689228448474873,0.731873254953696,0.395075081064222,-0.536945843663188,0.536945843663188
"RAF1",1.27576010497966,0.73016562397911,0.391443828526086,0.351357068997632,0.351357068997632
"PDCD6IP",1.30465337370953,0.700950381589819,0.351364697551379,0.383666555871277,0.383666555871277
"FGFR2",1.9613588260433,0.64930899809279,0.292102037846094,0.971853497384453,0.971853497384453
"VEGFC",1.45255025069293,0.590220188892213,0.234534129923195,0.538588074247,0.538588074247
"FGFR3",1.73715922544785,0.580234359446486,0.226057007565009,0.796729995404703,0.796729995404703
"PDCD10",1.51142515122739,0.518532619669395,0.175359391179778,0.595909535613449,0.595909535613449
"FGFR1OP2",0.576261822368324,0.466338432325592,0.139283960277603,-0.795203651259151,0.795203651259151
"PDCD5P1",0.666411897098719,0.368110602389332,0.0808415685209426,-0.585513938283372,0.585513938283372
"ARAF",2.06426332769255,0.29434391557844,0.0489335738573963,1.04562701985229,1.04562701985229
"PDCD6",0.680027531363201,0.283729175173656,0.0454246628007229,-0.556334938881568,0.556334938881568
"PDCD5",0.557175728019052,0.258119016551652,0.0358893735412584,-0.843795683016486,0.843795683016486
"KDR",2.47161808256172,0.179652650883584,0.0115699366050677,1.30545583346806,1.30545583346806
"PDCD4",2.30225561549302,0.17012126913997,0.0102430305629618,1.20304802231947,1.20304802231947
