"","gene_name","logfc","qval","pval","race","exp"
"1","UQCRB",-4.04056675877946,9.10999505276955e-08,7.74149633286925e-11,"asian","down"
"2","VPS28",-3.2950141237654,0.00121929928724256,2.64670826510827e-06,"asian","down"
"3","LBHD1",-4.09762650947177,0.0169176384942286,5.95044968543235e-05,"asian","down"
"4","ITIH3",-4.11310310093566,0.0178634009477271,6.3549100931537e-05,"asian","down"
"5","ZYX",-2.26603855764863,0.0214358854185932,7.91809446187841e-05,"asian","down"
"6","MRPL24",-3.01378222394017,0.0214358854185932,7.92740868477138e-05,"asian","down"
"7","GAS5",-1.67909330636651,0.0246223077554537,9.25427412925561e-05,"asian","down"
"8","CREBL2",-2.32115144047323,0.0268645539055662,0.000102975799857408,"asian","down"
"9","TXNDC12",-1.52475431902674,0.0291409603170075,0.000118311572617991,"asian","down"
"10","ZNHIT1",-2.31127174035818,0.030612129610075,0.000124899753001673,"asian","down"
"11","CALR",-5.58831701656235,0.0351757255044661,0.000153310408644636,"asian","down"
"12","POLRMT",-2.53295572243937,0.045332068067482,0.000212291913408436,"asian","down"
"13","PSMB4",-2.1256042776807,0.0494896114824945,0.000239719346530554,"asian","down"
"14","RBP7",-1.89067219018915,0.000462898645917184,6.42279397222723e-07,"white","down"
"15","PLVAP",-2.03955427159435,0.00190852800209104,4.15150091814809e-06,"white","down"
"16","NF2",-1.13466383753544,0.00443042355175778,1.3202993704664e-05,"white","down"
"17","SLC25A1",-1.52853214837599,0.00452854368054371,1.39034299500018e-05,"white","down"
"18","NDUFA2",-2.2452225618239,0.00573500742633823,1.95857514559972e-05,"white","down"
"19","PPIB",-1.78040040577779,0.00616972503264066,2.17413959646695e-05,"white","down"
"20","BCAT2",-1.04769989246071,0.00716011898429633,2.89694190176437e-05,"white","down"
"21","TIMM44",-1.62109000817318,0.00718985560018376,2.92461280178014e-05,"white","down"
"22","AKT1S1",-1.16100663577283,0.00985283883793377,4.45791020249331e-05,"white","down"
"23","PSMB5",-1.21245277145256,0.014981236589118,8.57057605267997e-05,"white","down"
"24","NKAP",-1.28917456784075,0.0189319369101747,0.000121188768545721,"white","down"
"25","ATP6V1F",-1.75551786262473,0.0208698175411996,0.000142999924420906,"white","down"
"26","DRAP1",-1.20731716193924,0.0234740548815529,0.000170035244835054,"white","down"
"27","HULC",-1.38558056345264,0.0234740548815529,0.000169778984571156,"white","down"
"28","PLOD3",-1.11755971948161,0.0242114701986903,0.000179063340023378,"white","down"
"29","TM7SF2",-1.29790385047319,0.0244458405215118,0.000182681688678743,"white","down"
"30","SELENBP1",-2.10323468889242,0.0299892171403203,0.000248540236023276,"white","down"
"31","EBNA1BP2",-1.1244652743074,0.0312999272595811,0.000264168880551585,"white","down"
"32","ATP5J2",-1.19882676191285,0.0322293950152773,0.000276920974311201,"white","down"
"33","MEA1",-1.09757592062632,0.0322787419282358,0.000278047111363033,"white","down"
"34","APOLD1",-1.2560545944552,0.0355407218163686,0.000319288221312108,"white","down"
"35","ACOX2",-1.81312468062409,0.0364621637289336,0.000329945621492134,"white","down"
"36","FKBP11",-1.31383212151446,0.0377873130743008,0.000349334552696812,"white","down"
"37","DYNLRB1",-1.22752095293977,0.0402338447173186,0.000386715221927569,"white","down"
"38","CRELD2",-1.22233924641226,0.0443799639843639,0.000451875411956348,"white","down"
"39","RPA3",-1.20924993495309,0.0462773429577584,0.000492574112539446,"white","down"
"40","ESM1",-1.49481994887131,0.0494120541250882,0.000541692864146626,"white","down"
