"","gene_name","logfc","qval","pval","race","exp"
"1","UQCRB",-4.04056675877946,9.10999505276955e-08,7.74149633286925e-11,"asian","down"
"2","VPS28",-3.2950141237654,0.00121929928724256,2.64670826510827e-06,"asian","down"
"3","LBHD1",-4.09762650947177,0.0169176384942286,5.95044968543235e-05,"asian","down"
"4","ITIH3",-4.11310310093566,0.0178634009477271,6.3549100931537e-05,"asian","down"
"5","ZYX",-2.26603855764863,0.0214358854185932,7.91809446187841e-05,"asian","down"
"6","MRPL24",-3.01378222394017,0.0214358854185932,7.92740868477138e-05,"asian","down"
"7","GAS5",-1.67909330636651,0.0246223077554537,9.25427412925561e-05,"asian","down"
"8","CREBL2",-2.32115144047323,0.0268645539055662,0.000102975799857408,"asian","down"
"9","TXNDC12",-1.52475431902674,0.0291409603170075,0.000118311572617991,"asian","down"
"10","ZNHIT1",-2.31127174035818,0.030612129610075,0.000124899753001673,"asian","down"
"11","RBP7",-1.89067219018915,0.000462898645917184,6.42279397222723e-07,"white","down"
"12","PLVAP",-2.03955427159435,0.00190852800209104,4.15150091814809e-06,"white","down"
"13","NF2",-1.13466383753544,0.00443042355175778,1.3202993704664e-05,"white","down"
"14","SLC25A1",-1.52853214837599,0.00452854368054371,1.39034299500018e-05,"white","down"
"15","NDUFA2",-2.2452225618239,0.00573500742633823,1.95857514559972e-05,"white","down"
"16","PPIB",-1.78040040577779,0.00616972503264066,2.17413959646695e-05,"white","down"
"17","BCAT2",-1.04769989246071,0.00716011898429633,2.89694190176437e-05,"white","down"
"18","TIMM44",-1.62109000817318,0.00718985560018376,2.92461280178014e-05,"white","down"
"19","AKT1S1",-1.16100663577283,0.00985283883793377,4.45791020249331e-05,"white","down"
"20","PSMB5",-1.21245277145256,0.014981236589118,8.57057605267997e-05,"white","down"
