"","gene_name","logfc","qval","pval","race","exp"
"1","GNE",2.55433217696389,6.9047545459e-13,1.11022302462516e-16,"asian","up"
"2","SLC38A2",4.2682934004694,1.37910964130109e-09,3.32622818177697e-13,"asian","up"
"3","SDS",2.16765229345542,2.06651631609292e-09,7.34190486184616e-13,"asian","up"
"4","LSR",2.22766856542569,2.06651631609292e-09,7.4762418478258e-13,"asian","up"
"5","AZGP1P1",3.79547047815493,2.06651631609292e-09,7.4762418478258e-13,"asian","up"
"6","ADAR",1.89823521082733,3.92015622302803e-09,1.49702472640456e-12,"asian","up"
"7","CPN1",1.67772963285396,4.42705242464925e-09,1.77957648617166e-12,"asian","up"
"8","APH1A",1.96418437456665,4.79218536883581e-09,2.78665979180914e-12,"asian","up"
"9","SORD2P",2.58769795939019,4.79218536883581e-09,2.78665979180914e-12,"asian","up"
"10","RPL39P3",3.32852670469084,4.79218536883581e-09,2.78665979180914e-12,"asian","up"
"11","CERS2",3.48292888207113,4.79218536883581e-09,2.79321010765443e-12,"asian","up"
"12","RNF11",1.66882639290454,7.89084258866157e-09,4.91651164225004e-12,"asian","up"
"13","MBD3",1.91424280004637,1.2250289974344e-08,8.12516720571921e-12,"asian","up"
"14","SLC25A28",1.80595958920369,2.85462280797637e-08,2.00811589579075e-11,"asian","up"
"15","ETS2",2.73757937116193,3.45492436018249e-08,2.49984477562748e-11,"asian","up"
"16","TDP2",2.70665429170214,5.40307311826e-08,4.23523438541906e-11,"asian","up"
"17","DBH",2.54160456151791,8.20367697107471e-08,6.5953909000882e-11,"asian","up"
"18","AKR1A1",2.44458359942899,9.10999505276955e-08,8.05353561617039e-11,"asian","up"
"19","ADH1C",2.13215921880388,4.02562288422577e-07,3.64097418881215e-10,"asian","up"
"20","STK40",2.35844684300815,5.23278564460004e-07,4.83796558370386e-10,"asian","up"
"21","CES2",2.33553403126883,7.5193047318646e-07,7.10309366880324e-10,"asian","up"
"22","GADD45G",2.14665568048544,3.53319810184648e-06,3.62168073309022e-09,"asian","up"
"23","CAP1",1.67205290983603,6.29000199712992e-06,6.68812405457686e-09,"asian","up"
"24","LRPPRC",1.7647118385314,7.1441843166976e-06,7.89745824292254e-09,"asian","up"
"25","DNTTIP2",2.81677868217428,9.48313971439911e-06,1.08642312923735e-08,"asian","up"
"26","DNAJC7",2.26614265819431,2.45307007724517e-05,3.00754260385006e-08,"asian","up"
"27","XDH",2.22740124990324,2.68170381596759e-05,3.34175416227822e-08,"asian","up"
"28","IDI1",2.16035633001658,3.00713707808471e-05,3.8077267339176e-08,"asian","up"
"29","EHHADH",1.98638499020456,4.98146432957346e-05,6.78718179436544e-08,"asian","up"
"30","KLKB1",2.83573761819526,5.63344987632521e-05,7.87455547435201e-08,"asian","up"
"31","FTCD",2.53327838520202,6.43614642653702e-05,9.54970803546118e-08,"asian","up"
"32","EIF5",2.22224113829957,9.70824615714131e-05,1.46343703377738e-07,"asian","up"
"33","CFI",2.2077512974582,0.000112289515932493,1.78294644825883e-07,"asian","up"
"34","INMT",2.03004598697163,0.000152778538850284,2.48724959739377e-07,"asian","up"
"35","MST1L",1.98778260505614,0.000182337287409809,3.09427630185155e-07,"asian","up"
"36","C1R",3.23629846855002,0.000246259656981931,4.25660861447241e-07,"asian","up"
"37","CSRP1",2.95120332346732,0.00028893337863567,5.11037048678276e-07,"asian","up"
"38","CDHR5",1.96982438829417,0.000290833256667556,5.20242791401948e-07,"asian","up"
"39","MFAP4",3.1252074994837,0.000354055031350448,6.47566182676584e-07,"asian","up"
"40","SLC25A20",2.8602166405676,0.000358284081005529,6.62502219972438e-07,"asian","up"
"41","EPB41L5",2.29770021430098,0.000389483618941017,7.28021396501077e-07,"asian","up"
"42","LDHD",1.67326405056126,0.000393586222846793,7.43600613972717e-07,"asian","up"
"43","PUF60",2.42595006768023,0.000454205953195938,8.76387255432931e-07,"asian","up"
"44","DCTD",1.79130243771491,0.000592783832243684,1.19142949761564e-06,"asian","up"
"45","MS4A6A",1.84175087912007,0.000677885977710644,1.40334959408683e-06,"asian","up"
"46","HAO2",2.08302323742496,0.000821173623244879,1.71648624869292e-06,"asian","up"
"47","PLIN2",2.99406684169532,0.000844204512334265,1.78159492292274e-06,"asian","up"
"48","BAX",1.33143966672912,0.00103765514998962,2.21070558947822e-06,"asian","up"
"49","ASS1",2.22134663655427,0.00115355291732419,2.48080882248036e-06,"asian","up"
"50","DMGDH",3.51831815699542,0.00179442236735773,4.11151163481893e-06,"asian","up"
"51","GHR",2.12075756704121,0.00182863666190829,4.24920845432109e-06,"asian","up"
"52","MS4A7",2.73731060041427,0.00182863666190829,4.26341304782252e-06,"asian","up"
"53","RAD23B",2.64631413077734,0.00208247208760901,4.94098693804013e-06,"asian","up"
"54","SOCS3",2.81305551208108,0.00208247208760901,5.06449979098544e-06,"asian","up"
"55","AKT1",3.37270568516833,0.00208247208760901,5.00093332733709e-06,"asian","up"
"56","SRD5A2",3.3945916306179,0.00222454258638233,5.45472113877565e-06,"asian","up"
"57","LPA",2.02038683088962,0.00236752750789929,5.85291400634347e-06,"asian","up"
"58","TXNIP",2.99662818031731,0.00242013564591506,6.03161193257762e-06,"asian","up"
"59","CEBPZ",1.98598809800554,0.00289361543287003,7.269806027832e-06,"asian","up"
"60","ARSD",2.14706642456583,0.00295409868306028,7.48113586979127e-06,"asian","up"
"61","KIF1C",1.74347394594817,0.00299247162257599,7.63845914031336e-06,"asian","up"
"62","BTBD1",1.97536623739799,0.00314260726664484,8.0848520748189e-06,"asian","up"
"63","NAMPTP1",2.77662176142685,0.00425789557698226,1.14675806430764e-05,"asian","up"
"64","SEC31A",2.03875331101072,0.00448799247974365,1.21774929606744e-05,"asian","up"
"65","TAT",2.11596586588809,0.00499354416215413,1.3850325488951e-05,"asian","up"
"66","APOF",5.81895675658645,0.00545786091029621,1.5357569792207e-05,"asian","up"
"67","APOA1",5.22779501121053,0.00571007197002028,1.61820184864103e-05,"asian","up"
"68","TRAPPC3",2.098241144429,0.0062046658349948,1.77083761822017e-05,"asian","up"
"69","CXCL2",2.4089031303036,0.00666340813444647,1.91515730036951e-05,"asian","up"
"70","NAPSB",1.70426953310297,0.00798158915763532,2.32610529375954e-05,"asian","up"
"71","DUSP5",2.51769801587813,0.00928581670077197,2.76219172672398e-05,"asian","up"
"72","CEACAM1",2.31055304206378,0.00998391752735755,3.00998438136357e-05,"asian","up"
"73","RPRD1B",1.66682519031204,0.0107002350276643,3.24744842460367e-05,"asian","up"
