"","gene_name","logfc","qval","pval","race","exp"
"1","GNE",2.55433217696389,6.9047545459e-13,1.11022302462516e-16,"asian","up"
"2","SLC38A2",4.2682934004694,1.37910964130109e-09,3.32622818177697e-13,"asian","up"
"3","SDS",2.16765229345542,2.06651631609292e-09,7.34190486184616e-13,"asian","up"
"4","LSR",2.22766856542569,2.06651631609292e-09,7.4762418478258e-13,"asian","up"
"5","AZGP1P1",3.79547047815493,2.06651631609292e-09,7.4762418478258e-13,"asian","up"
"6","ADAR",1.89823521082733,3.92015622302803e-09,1.49702472640456e-12,"asian","up"
"7","CPN1",1.67772963285396,4.42705242464925e-09,1.77957648617166e-12,"asian","up"
"8","APH1A",1.96418437456665,4.79218536883581e-09,2.78665979180914e-12,"asian","up"
"9","SORD2P",2.58769795939019,4.79218536883581e-09,2.78665979180914e-12,"asian","up"
"10","RPL39P3",3.32852670469084,4.79218536883581e-09,2.78665979180914e-12,"asian","up"
"11","WRNIP1",3.54968635410574,8.16765288735866e-06,2.3697710460624e-10,"black","up"
"12","MYD88",1.64756899849972,0.0397192280656832,9.21934151121295e-06,"black","up"
"13","RDH16",2.27908653113012,0.0417814247366511,1.09102542398265e-05,"black","up"
"14","CLEC4G",1.59047093325173,3.40261152587118e-12,2.22044604925031e-16,"white","up"
"15","CXCL14",2.20606900325222,2.87131804047444e-09,4.37205827097387e-13,"white","up"
"16","GSTT1",2.38741634907944,1.10550546166608e-05,6.25231488804445e-09,"white","up"
"17","MT1H",3.82821894311291,1.40408534938796e-05,8.55181192527255e-09,"white","up"
"18","MT1G",2.17881253635568,1.83709443228798e-05,1.15887363039135e-08,"white","up"
"19","MT1F",4.04181676375299,4.07825332613611e-05,2.92748542074506e-08,"white","up"
"20","MT1HL1",1.79694456754099,6.15280248983385e-05,4.81816953001868e-08,"white","up"
"21","LINC01093",1.72261159767215,0.000133887973993851,1.19407616239187e-07,"white","up"
"22","LOC107984936",2.49451033929249,0.00020893081065088,2.26923596580164e-07,"white","up"
"23","MT1M",3.21787812962017,0.00020893081065088,2.26795201507812e-07,"white","up"
