biomarker,targets,type,,,,,,,,,,,,
miR-10b,CSMD1,up,,,,,,,,,,,,
miR-21,"CAMSAP1, DDX1, MARCKSL1",up,,,,,,,,,,,,
miR-25,"RhoGDI1, TRAIL",up,,,,,,,,,,,,
miR-32,,up,,,,,,,,,,,,
miR-92a,FBXW7,up,,,,,,,,,,,,
miR-96-5p,Caspase-9,up,,,,,,,,,,,,
miR-107,"Axin2, HMGA2,",up,,,,,,,,,,,,
miR-135a,FOXO1,up,,,,,,,,,,,,
miR-155-5p,PTEN,up,,,,,,,,,,,,
miR-181a,Atg5,up,,,,,,,,,,,,
miR-182,TP53INP1,up,,,,,,,,,,,,
miR-197,CD82,up,,,,,,,,,,,,
miR-203a-3p.1,IL-24,up,,,,,,,,,,,,
miR-210,"FGFRL1, YES1",up,,,,,,,,,,,,
miR-214-5p,WASL,up,,,,,,,,,,,,
miR-216a/217,"PTEN, SMAD7",up,,,,,,,,,,,,
miR217,"PTEN, SMAD7",up,,,,,,,,,,,,
miR-221,,up,,,,,,,,,,,,
miR-302d,TGFBR2,up,,,,,,,,,,,,
miR-331-3p,ING5,up,,,,,,,,,,,,
miR-346,FBXL2,up,,,,,,,,,,,,
miR-454,CHD5,up,,,,,,,,,,,,
miR-487a,"SPRED2, PIK3R1",up,,,,,,,,,,,,
miR-765,INPP4B,up,,,,,,,,,,,,
miR-873,TSLC1,up,,,,,,,,,,,,
miR-892a,CD226,up,,,,,,,,,,,,
miR-1246,CADM1,up,,,,,,,,,,,,
miR-1249,PTCH1,up,,,,,,,,,,,,
miR-1468,"CITED2, UPF1",up,,,,,,,,,,,,
miR-3910,MST1,up,,,,,,,,,,,,
miR-4417,TRIM35,up,,,,,,,,,,,,
miR-7,"mTOR, TYRO3",down,,,,,,,,,,,,
miR-7/21/107,Maspin,down,,,,,,,,,,,,
miR-26,ULK1,down,,,,,,,,,,,,
miR-29a,CLDN1,down,,,,,,,,,,,,
miR-30a-5p,AEG-1,down,,,,,,,,,,,,
miR-30e,MTA1,down,,,,,,,,,,,,
miR-31,NDRG3,down,,,,,,,,,,,,
miR-31-5p,SP1,down,,,,,,,,,,,,
miR-33a,No mentioned,down,,,,,,,,,,,,
miR-33a-5p,No mentioned,down,,,,,,,,,,,,
