"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","PMID","term name","year"
"1134","33","GO Component","","extracellular space","5.64E-11","TNFRSF1A|CETP|HMOX1|OXT|F9|APOA1|CFP|HBA2|KLKB1|HPX|CRHBP|ANPEP|FGB|CALR|LPA|COLEC10|HBB|CPN1|CYP4A22|IGFBP3|HDLBP|DBH|PROS1|APOF|COLEC11|IGFALS|CXCL2|C1R|LDLR|GDF2|HAMP|LSR|GHR","17100","4420|4336|4352|4387|4423|4411|4341|4413|4465|4346|4309|4311|4407|4375|4326|4436|4386|4443|4384|4315|4305|4389|4304|4351|4433|4324|4391|4439|4449|4362|4376|4412|4394","","GO.0005615","0"
"1375","36","GO Component","","extracellular region part","5.64E-11","TNFRSF1A|CETP|HMOX1|OXT|F9|APOA1|CFP|HBA2|KLKB1|HPX|CRHBP|ANPEP|FGB|CALR|LPA|COLEC10|HBB|ADAMTSL2|ECM1|CPN1|CYP4A22|IGFBP3|HDLBP|DBH|PROS1|MFAP4|APOF|COLEC11|IGFALS|CXCL2|C1R|LDLR|GDF2|HAMP|LSR|GHR","17100","4420|4336|4352|4387|4423|4411|4341|4413|4465|4346|4309|4311|4407|4375|4326|4436|4386|4397|4382|4443|4384|4315|4305|4389|4304|4459|4351|4433|4324|4391|4439|4449|4362|4376|4412|4394","","GO.0044421","0"
"2505","48","GO Component","","extracellular region","6.02E-11","TNFRSF1A|CETP|HMOX1|OXT|F9|APOA1|CAT|CFP|HBA2|KLKB1|HPX|FCN3|CRHBP|PLIN2|FCN2|ANPEP|FGB|TLN1|CALR|LPA|COLEC10|HBB|ADAMTSL2|CNDP1|ECM1|CPN1|PGM1|CYP4A22|CAP1|XDH|IGFBP3|HDLBP|DBH|PROS1|MFAP4|APOF|PLAC8|COLEC11|ITIH3|IGFALS|CXCL2|LY6E|C1R|LDLR|GDF2|HAMP|LSR|GHR","17100","4420|4336|4352|4387|4423|4411|4426|4341|4413|4465|4346|4302|4309|4428|4301|4311|4407|4328|4375|4326|4436|4386|4397|4307|4382|4443|4406|4384|4408|4450|4315|4305|4389|4304|4459|4351|4342|4433|4435|4324|4391|4332|4439|4449|4362|4376|4412|4394","","GO.0005576","0"
"9377","92","GO Component","","cytoplasmic part","2.62E-7","CD4|DCN|TNFRSF1A|HMOX1|OXT|F9|CYP26A1|EHHADH|APOA1|CAT|RAMP3|RNF11|CFP|HBA2|DMGDH|SDS|LRPPRC|BTBD1|HPX|CERS2|CRHBP|PLIN2|FTCD|BAX|LAPTM5|AVPR1A|LDHD|ANPEP|FGB|FOS|MT1E|RND1|TLN1|CES2|CALR|ZYX|SLC25A20|SOCS3|COLEC10|HBB|UBA1|GANAB|CYP1A2|IFI6|CNDP1|HLA-DRB1|ETS2|MRPL24|GUK1|FMO3|MRPL9|ECM1|APH1A|PHGDH|CPN1|PGM1|CYP2C8|CYP4A22|AKR1A1|ASS1|CAP1|STK40|RPRD1B|YTHDF2|RND3|SRPX|XDH|IGFBP3|IDI1|SQSTM1|HDLBP|PRKAR1A|DBH|PROS1|SEC31A|GNE|MCFD2|PLAC8|DNAJC7|ITIH3|AADAT|ADH1C|AKT1|LDLR|TXNIP|POLRMT|ZFP36|FPR1|HAMP|TRAPPC3|GHR|HAO2","17100","4460|4418|4420|4352|4387|4423|4366|4425|4411|4426|4437|4381|4341|4413|4300|4314|4458|4349|4346|4432|4309|4428|4392|4463|4454|4414|4350|4311|4407|4415|4333|4393|4328|4330|4375|4462|4448|4345|4436|4386|4373|4444|4371|4442|4307|4378|4308|4363|4396|4455|4401|4382|4343|4400|4443|4406|4368|4384|4410|4457|4408|4430|4354|4452|4390|4379|4450|4315|4335|4329|4305|4322|4389|4304|4358|4334|4380|4342|4424|4435|4453|4438|4312|4449|4323|4317|4310|4339|4376|4359|4394|4357","","GO.0044444","0"
"40","7","GO Component","","plasma lipoprotein particle","1.36E-6","CETP|APOA1|LPA|HDLBP|APOF|LDLR|LSR","17100","4336|4411|4326|4305|4351|4449|4412","","GO.0034358","0"
"3267","50","GO Process","","response to stress","1.46E-6","CD4|DCN|TNFRSF1A|HMOX1|OXT|F9|APOA1|CAT|CFP|HBA2|LYVE1|KLKB1|ITGA9|FCN3|CRHBP|FCN2|BAX|CLEC1B|AVPR1A|FGB|FOS|TLN1|CALR|ZYX|COLEC10|HBB|UBA1|CYP1A2|IFI6|HLA-DRB1|ADAR|ECM1|ASS1|TDP2|SRPX|SQSTM1|PRKAR1A|DBH|PROS1|SEC31A|PLAC8|COLEC11|CXCL2|C1R|AKT1|LDLR|TXNIP|ZFP36|FPR1|HAMP","17100","4460|4418|4420|4352|4387|4423|4411|4426|4341|4413|4456|4465|4431|4302|4309|4301|4463|4402|4414|4407|4415|4328|4375|4462|4436|4386|4373|4371|4442|4378|4388|4382|4457|4370|4379|4329|4322|4389|4304|4358|4342|4433|4391|4439|4312|4449|4323|4310|4339|4376","","GO.0006950","0"
"126","11","GO Process","","response to estradiol","1.73E-6","CD4|OXT|CAT|RAMP3|CRHBP|CALR|CYP1A2|ASS1|MBD3|TXNIP|GHR","17100","4460|4387|4426|4437|4309|4375|4371|4457|4451|4323|4394","","GO.0032355","0"
"340","14","GO Component","","cytoplasmic vesicle lumen","2.61E-6","APOA1|CAT|CFP|HBA2|HPX|FGB|CALR|HBB|ECM1|CAP1|DBH|PROS1|PLAC8|ITIH3","17100","4411|4426|4341|4413|4346|4407|4375|4386|4382|4408|4389|4304|4342|4435","","GO.0060205","0"
"1796","32","GO Component","","endoplasmic reticulum","2.69E-6","CD4|HMOX1|F9|CYP26A1|APOA1|CAT|CFP|CERS2|PLIN2|FTCD|BAX|FGB|FOS|CES2|CALR|GANAB|CYP1A2|HLA-DRB1|FMO3|APH1A|CYP2C8|CYP4A22|ASS1|SRPX|XDH|IGFBP3|SQSTM1|DBH|PROS1|SEC31A|MCFD2|TRAPPC3","17100","4460|4352|4423|4366|4411|4426|4341|4432|4428|4392|4463|4407|4415|4330|4375|4444|4371|4378|4455|4343|4368|4384|4457|4379|4450|4315|4329|4389|4304|4358|4380|4359","","GO.0005783","0"
"74","9","GO Process","","protein activation cascade","2.78E-6","F9|CFP|KLKB1|FCN3|FCN2|FGB|COLEC10|COLEC11|C1R","17100","4423|4341|4465|4302|4301|4407|4436|4433|4439","","GO.0072376","0"
