geneIDs	feature	id	fc	pval	qval	t_name	gene_name
MSTRG.1	transcript	8	1.39220149836765	0.392650635080396	0.86441622937721	CHS.59443.1	RPS6KA1
MSTRG.3	transcript	12	1.01108012159703	0.98196681861226	0.996648174738068	CHS.59447.2	SLC16A1
MSTRG.3	transcript	13	1.76014898672774	0.0539662063506428	0.513249126272476	CHS.59447.1	SLC16A1
MSTRG.11	transcript	52	0.948408637587388	0.782366440364956	0.978207741755622	CHS.59493.1	TMEM42
MSTRG.13	transcript	70	1.16803706363297	0.411601207252438	0.873894879643132	CHS.59567.2	SURF6
MSTRG.15	transcript	75	0.876815174954742	0.554775442013508	0.925248330403901	CHS.59569.1	RPL7A
MSTRG.16	transcript	76	0.456837311124056	0.0734045665001284	0.557846818482508	MSTRG.16.1	SURF1
MSTRG.16	transcript	78	1.01133217774018	0.976105578422171	0.995768938164903	CHS.59570.2	SURF1
MSTRG.17	transcript	79	0.744218742157726	0.259056583225167	0.784189182173662	CHS.59571.1	SURF2
MSTRG.18	transcript	81	1.91416420401352	0.171528244335923	0.705910917685469	MSTRG.18.1	SURF4
MSTRG.18	transcript	85	0.934836600640305	0.556139220164903	0.925248330403901	CHS.59572.5	SURF4
MSTRG.18	transcript	88	0.750012587665621	0.341674087101224	0.837038283654056	CHS.59572.1	SURF4
MSTRG.20	transcript	95	1.0037060941104	0.971989698813523	0.994929508843048	CHS.59574.6	REXO4
MSTRG.22	transcript	102	0.881456368879592	0.385511929162035	0.863093206077063	CHS.59576.2	CACFD1
MSTRG.27	transcript	120	0.93596868794039	0.719586349230064	0.968181774319132	CHS.59606.1	RPS25
MSTRG.27	transcript	121	0.853265207571395	0.65314000663217	0.954989007043131	MSTRG.27.1	RPS25
MSTRG.28	transcript	123	0.767083010667508	0.36864846118462	0.851719552760627	CHS.59607.2	TRAPPC4
MSTRG.29	transcript	130	1.05643615657968	0.785065616864597	0.978720236924692	CHS.59608.5	SLC37A4
MSTRG.29	transcript	132	1.05764402294454	0.897044386450587	0.989267450437849	CHS.59608.2	SLC37A4
MSTRG.29	transcript	135	1.91679459763477	0.127071923984949	0.657839483561284	MSTRG.29.1	SLC37A4
MSTRG.29	transcript	136	1.1836387787449	0.424088186180949	0.882483564231502	MSTRG.29.2	SLC37A4
MSTRG.30	transcript	137	0.524037798845384	0.0655885279480484	0.545341562684397	CHS.59609.1	HYOU1
MSTRG.30	transcript	138	0.74188642271554	0.557191036503176	0.925874643563149	CHS.59609.2	HYOU1
MSTRG.31	transcript	140	0.868552876972779	0.313172087159869	0.818306991231143	CHS.59610.2	VPS11
MSTRG.32	transcript	141	0.990216438327343	0.952530106696993	0.994327284445309	CHS.59611.1	HMBS
MSTRG.35	transcript	148	0.586621833054928	0.0156493853986108	0.365565655498081	CHS.59793.1	FBL
MSTRG.36	transcript	150	1.08170598848951	0.58665136150893	0.936950790590021	CHS.130379	PRR13P5
MSTRG.37	transcript	151	0.625690593712938	0.0145408984833275	0.355930748938935	CHS.59795.1	PSMC4
MSTRG.38	transcript	160	0.699533767583053	0.0680979427103039	0.551383544675042	CHS.59926.1	NDUFA6
MSTRG.41	transcript	163	0.900741670585674	0.828593183150586	0.98497188154957	CHS.59929.1	CYP2D7
MSTRG.44	transcript	170	0.952908777716562	0.931680712748609	0.99207181452272	CHS.59947.2	CYP2D6
MSTRG.46	transcript	174	0.851523095125429	0.72376861350968	0.968181774319132	CHS.59950.1	LOC101929829
MSTRG.46	transcript	192	0.832814474325046	0.584029085298737	0.935917721053523	MSTRG.46.4	MSTRG.46
MSTRG.46	transcript	193	0.773769682528537	0.459102806516914	0.896104592982543	CHS.59952.1	CYP2D7
MSTRG.54	transcript	215	1.22799080442049	0.535159275700864	0.921572638247181	CHS.59432.1	RCC2
MSTRG.56	transcript	228	2.13814812096451	0.0318780724258888	0.435104287263985	CHS.59501.1	RYBP
MSTRG.57	transcript	249	0.574305806663069	0.108945507001374	0.628590772235595	MSTRG.57.1	MSTRG.57
MSTRG.57	transcript	253	0.760121851522175	0.0303813028201371	0.428737400570573	CHS.59614.1	LOC100506248
MSTRG.57	transcript	254	0.483362078038867	0.0616169130147322	0.534952542596466	CHS.69360.1	MIR1244-4
MSTRG.59	transcript	255	1.212941714031	0.603428351743942	0.942344826353997	CHS.59615.1	LRP6
MSTRG.67	transcript	264	3.07965732147943	0.0189460420709613	0.378569604234938	CHS.59620.1	DUSP16
MSTRG.79	transcript	301	0.697232540230796	0.0694539929937126	0.553163719595303	CHS.130343	RPL41P2
MSTRG.84	transcript	344	1.04867987873277	0.783562596085779	0.978364110680978	CHS.130351	HMGN2P5
MSTRG.88	transcript	418	1.01214136621377	0.959901199599856	0.994838214201215	CHS.59692.2	KLF13
MSTRG.92	transcript	476	0.855392441688333	0.726616438934145	0.968181774319132	CHS.59395.1	PRAMEF4
MSTRG.93	transcript	477	1.42638940068217	0.436219976431251	0.887073612930613	CHS.59396.1	PRAMEF10
MSTRG.98	transcript	498	1.30951472706722	0.519963438080779	0.9193289851061	CHS.59413.1	PRAMEF33P
MSTRG.99	transcript	499	0.926398488452069	0.89519161088878	0.989267450437849	MSTRG.99.1	MSTRG.99
MSTRG.101	transcript	516	2.25970168468537	0.461053222010722	0.897295262195691	CHS.130242.6	IGKV1-5
MSTRG.101	transcript	517	6.89467820665873	0.0537091192348638	0.513249126272476	CHS.130242.2	IGKV1-5
MSTRG.101	transcript	518	2.59814636424242	0.242592558193196	0.770692627745053	MSTRG.101.1	MSTRG.101
MSTRG.101	transcript	519	1.46944739997126	0.670009591560398	0.955050277927135	CHS.130242.5	IGKV1-5
MSTRG.101	transcript	523	2.54893817541618	0.0225028257352706	0.393394212855642	CHS.130243.1	IGKV1-6
MSTRG.101	transcript	524	1.1338341112352	0.863011650581227	0.989080740854828	CHS.130243.3	IGKV1-6
MSTRG.104	transcript	529	3.08977392144343	0.146119702712117	0.680538734338875	CHS.130244.2	IGKV3-7
MSTRG.104	transcript	530	2.87283182706947	0.250739975451756	0.777639474254211	CHS.130244.5	IGKV3-7
MSTRG.105	transcript	532	4.122377132612	0.136951216247394	0.66989757691027	CHS.130245.1	IGKV1-8
MSTRG.105	transcript	533	1.40336441718639	0.670666823295843	0.955069591812694	CHS.130245.5	IGKV1-8
MSTRG.106	transcript	534	1.07070093306694	0.943438855821066	0.992987580784508	CHS.130246.6	IGKV1-9
MSTRG.106	transcript	535	6.49956897694839	0.0594287751317482	0.529101290871265	CHS.130246.2	IGKV1-9
MSTRG.106	transcript	536	1.35368867136836	0.719350012793079	0.968181774319132	CHS.130246.3	IGKV1-9
MSTRG.107	transcript	539	1.81972242632823	0.39927801831558	0.867954818008276	MSTRG.107.3	MSTRG.107
MSTRG.107	transcript	541	1.09876407233146	0.920682628828373	0.990515900720851	CHS.130248.4	IGKV3-11
MSTRG.107	transcript	542	9.92784135948964	0.0259040517813725	0.409090873899946	CHS.130248.1	IGKV3-11
MSTRG.107	transcript	543	1.5708615836189	0.277438787929513	0.794855063413273	MSTRG.107.5	MSTRG.107
MSTRG.107	transcript	544	4.32279540754053	0.259181428657227	0.784189182173662	CHS.130248.5	IGKV3-11
MSTRG.109	transcript	551	4.06031512995972	0.0791661996636761	0.571512000149571	CHS.130249.2	IGKV1-12
MSTRG.109	transcript	552	1.61116984369975	0.362185833617873	0.847854370335172	MSTRG.109.1	MSTRG.109
MSTRG.109	transcript	554	1.12760561688957	0.798466070874848	0.979429142361407	CHS.130250.6	IGKV1-13
MSTRG.109	transcript	555	3.30815986534135	0.0107517935380739	0.322256101499281	CHS.130250.2	IGKV1-13
MSTRG.109	transcript	556	2.63304611240631	0.0966499417478273	0.607206090803923	CHS.130250.5	IGKV1-13
MSTRG.107	transcript	561	11.6905617769935	0.020690137874906	0.3857898792233	CHS.130252.2	IGKV3-15
MSTRG.107	transcript	562	2.20260388900981	0.490838363255592	0.909474179777688	MSTRG.107.9	MSTRG.107
MSTRG.107	transcript	563	11.2139222065113	0.0426691408646249	0.475956553628423	CHS.130252.5	IGKV3-15
MSTRG.111	transcript	564	1.35995724225467	0.654835403326466	0.954989007043131	CHS.130253.4	IGKV1-16
MSTRG.111	transcript	565	3.47828377358044	0.128049302556633	0.660270834477545	CHS.130253.2	IGKV1-16
MSTRG.113	transcript	569	4.55116258594835	0.0621640248959077	0.536212257464962	CHS.130254.1	IGKV1-17
MSTRG.107	transcript	575	4.79646701332588	0.252377026426777	0.779226512652114	CHS.130257.4	IGKV3-20
MSTRG.107	transcript	576	7.4832728343792	0.0829125750215128	0.580484753801208	CHS.130257.1	IGKV3-20
MSTRG.107	transcript	577	20.8700593075455	0.039327925788294	0.463680623398528	CHS.130257.5	IGKV3-20
MSTRG.116	transcript	579	1.56902003104422	0.365390912960736	0.850131209807263	CHS.130258.2	IGKV6-21
MSTRG.117	transcript	594	4.95212297855222	0.0168867152130283	0.372206954705105	CHS.130261.1	IGKV2-24
MSTRG.117	transcript	595	2.24646934263766	0.192610141004248	0.726273475066088	CHS.130261.5	IGKV2-24
MSTRG.118	transcript	603	1.18786359553489	0.689052722792664	0.959721545319335	CHS.130263.6	IGKV2-26
MSTRG.118	transcript	605	1.49246688249583	0.476217743629267	0.904313781273437	MSTRG.118.3	MSTRG.118
MSTRG.119	transcript	608	3.38768805810819	0.0119134262205498	0.33002958683359	CHS.130264.2	IGKV1-27
